ticker,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
ATVI,10,4447,6489,0.33,1.95,1376,1831,12.68,12.44,0.21,0.21,92.49,2.02,11.53,1,0,3,3,0,0.5,0.0,1.0,0.0,1.0,2.5,186.83,23.29
NFLX,10,2163,20156,0.42,4.13,276,-2887,31.63,29.12,1.69,1.95,212.64,4.94,30.75,0,0,0,2,0,1.0,0.5,0.0,1.0,0.0,2.5,1050.44,151.9
MSFT,10,62484,125843,2.1,5.06,24073,52185,44.2,42.41,0.61,0.71,26.83,6.0,12.06,1,1,1,3,0,0.5,0.0,1.0,1.0,0.0,2.5,160.98,72.36
AAPL,10,65225,260174,2.16,11.89,18595,69391,62.09,55.92,1.14,1.01,14.84,12.79,12.68,2,1,2,3,0,0.5,0.0,1.0,1.0,0.0,2.5,189.8,162.18
AMD,10,6494,6731,0.64,0.3,-412,493,20.19,16.66,0.23,0.24,76.44,0.43,0.0,0,0,3,7,5,0.5,0.0,0.0,1.0,1.0,2.5,32.87,0.0
AMZN,10,34204,280522,2.53,23.01,3495,38514,18.58,21.95,0.98,1.02,337.96,20.93,27.42,0,0,0,5,1,1.0,0.0,0.5,1.0,0.0,2.5,7073.5,573.9
EA,10,3654,4950,-2.08,3.33,152,1547,44.99,20.53,0.14,0.19,483.5,9.54,156.49,3,0,6,7,1,0.0,0.0,0.5,1.0,1.0,2.5,4612.59,1492.91
MCD,10,24074,21077,4.58,7.88,6342,8122,0.0,0.0,0.0,0.0,19.76,7.63,6.73,2,4,5,2,0,0.0,0.5,1.0,0.0,1.0,2.5,150.77,51.35
SHOP,8,24,1578,-0.02,-1.1,2,71,-5.11,-4.89,0.04,0.05,0.0,-1.15,0.0,0,0,1,8,1,0.5,0.0,0.5,0.0,1.0,2.0,-0.0,-0.0
SPOT,5,1940,6764,-1.37,-1.03,-38,573,-1.92,-9.01,0.31,0.31,0.0,-0.44,0.0,0,0,1,5,1,0.5,0.0,0.5,0.0,1.0,2.0,-0.0,-0.0
KO,10,35119,37266,2.53,2.07,9532,10471,55.82,49.61,1.71,1.45,80.89,2.32,3.52,3,5,6,5,0,0.0,0.0,1.0,1.0,0.0,2.0,187.66,8.17
QCOM,10,10991,24273,1.96,3.59,4076,7286,117.15,150.28,4.42,2.74,14.76,3.38,14.22,2,5,3,4,1,0.5,0.0,0.5,1.0,0.0,2.0,49.89,48.06
JBL,10,13409,25282,0.78,1.81,427,1193,7.42,14.96,1.37,1.12,34.35,0.86,8.75,1,1,1,6,0,0.5,0.0,1.0,0.0,0.0,1.5,29.54,7.52
NXPI,10,4402,8877,-1.99,0.85,369,2373,2.59,2.44,0.82,0.78,83.99,0.84,13.59,0,2,3,7,1,0.5,0.0,0.5,0.0,0.0,1.0,70.55,11.42
TSLA,10,117,24578,-3.04,-4.92,-128,2405,-2.09,-14.94,1.27,1.9,0.0,-0.74,0.0,0,0,0,10,7,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0
BMWYY,10,60477,104210,1.64,2.49,13651,3662,8.3,8.41,1.2,1.11,11.78,2.48,37.47,4,5,2,3,0,0.5,0.0,0.0,0.0,0.0,0.5,29.21,92.93
GE,10,150211,95215,1.06,-0.62,36123,8772,-8.04,-18.35,1.9,2.54,19.82,-0.33,0.0,0,0,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,-6.54,-0.0
